unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date
65945220,2025-08-25T21:15:18.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,In Progress,BROOKLYN,Sidewalk,
65947090,2025-08-25T21:15:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:57:34.000
65945639,2025-08-25T21:15:08.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:20:46.000
65950100,2025-08-25T21:15:05.000,NYPD,New York City Police Department,Urinating in Public,N/A,Closed,QUEENS,Residential Building/House,2025-08-25T22:53:16.000
65947590,2025-08-25T21:14:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Closed,BRONX,Street/Sidewalk,2025-08-25T21:34:29.000
65953181,2025-08-25T21:14:54.000,DOT,Department of Transportation,Street Sign - Dangling,Stop,In Progress,BROOKLYN,Street,
65948654,2025-08-25T21:14:40.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,In Progress,MANHATTAN,Street,
65952785,2025-08-25T21:14:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T22:34:59.000
65948294,2025-08-25T21:14:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,QUEENS,Street/Sidewalk,2025-08-25T21:54:29.000
65948735,2025-08-25T21:14:29.000,DSNY,Department of Sanitation,Dirty Condition,Trash,In Progress,BROOKLYN,Sidewalk,
65945038,2025-08-25T21:14:26.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,In Progress,MANHATTAN,Above Address,
65949403,2025-08-25T21:14:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:42:21.000
65950469,2025-08-25T21:14:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T21:42:01.000
65950739,2025-08-25T21:14:16.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,In Progress,QUEENS,Street,
65945650,2025-08-25T21:14:08.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T23:02:22.000
65953243,2025-08-25T21:13:59.000,DHS,Department of Homeless Services,Encampment,N/A,In Progress,BROOKLYN,Street/Sidewalk,
65946304,2025-08-25T21:13:59.000,NYPD,New York City Police Department,Encampment,N/A,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:36:04.000
65950725,2025-08-25T21:13:54.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,In Progress,MANHATTAN,Vacant Building,
65944652,2025-08-25T21:13:41.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BRONX,Residential Building/House,2025-08-26T00:48:15.000
65952246,2025-08-25T21:13:37.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",In Progress,QUEENS,Business,
65944721,2025-08-25T21:13:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T21:23:55.000
65948889,2025-08-25T21:13:13.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Car Rental,In Progress,STATEN ISLAND,Business,
65952972,2025-08-25T21:13:09.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Spoiled,In Progress,QUEENS,Other (Explain Below),
65951269,2025-08-25T21:13:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:03:36.000
65951412,2025-08-25T21:13:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:58:06.000
65951161,2025-08-25T21:13:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),Open,BROOKLYN,,
65951609,2025-08-25T21:12:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,STATEN ISLAND,Street/Sidewalk,2025-08-25T22:47:19.000
65951500,2025-08-25T21:12:51.000,NYPD,New York City Police Department,Noise - Park,Loud Talking,Closed,BROOKLYN,Park/Playground,2025-08-25T23:03:05.000
65947717,2025-08-25T21:12:49.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,In Progress,BROOKLYN,Street,
65951427,2025-08-25T21:12:48.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:00:03.000
65953240,2025-08-25T21:12:29.000,NYPD,New York City Police Department,Encampment,N/A,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T22:44:55.000
65945585,2025-08-25T21:12:21.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BRONX,Street/Sidewalk,2025-08-25T21:55:09.000
65945745,2025-08-25T21:11:57.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BRONX,Street/Sidewalk,2025-08-25T21:51:37.000
65951300,2025-08-25T21:11:31.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:04:47.000
65946952,2025-08-25T21:11:08.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Closed,BRONX,Store/Commercial,2025-08-25T22:05:33.000
65951298,2025-08-25T21:11:02.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:16:01.000
65946928,2025-08-25T21:11:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,Open,STATEN ISLAND,,
65946727,2025-08-25T21:10:53.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:00:39.000
65949330,2025-08-25T21:10:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,MANHATTAN,Residential Building/House,2025-08-25T22:36:26.000
65948215,2025-08-25T21:10:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,STATEN ISLAND,Residential Building/House,2025-08-25T21:38:06.000
65945442,2025-08-25T21:10:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Open,MANHATTAN,,
65947837,2025-08-25T21:10:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),Closed,QUEENS,,2025-08-25T22:33:00.000
