unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date,year_month,date,year_month_str,quarter,year,month,day_of_week,hour,workload_flag,utilization_rate
65950727,2025-08-25 22:25:27,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,In Progress,MANHATTAN,3+ Family Apt. Building,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0398
65952752,2025-08-25 22:25:24,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BROOKLYN,Residential Building/House,2025-08-25 22:55:48,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65951645,2025-08-25 22:25:13,DOT,Department of Transportation,Street Condition,Pothole,Open,BROOKLYN,,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0726
65946094,2025-08-25 22:25:06,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,In Progress,QUEENS,1-2 Family Dwelling,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0398
65947796,2025-08-25 22:25:00,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Open,MANHATTAN,,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0822
65944540,2025-08-25 22:24:56,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 00:19:50,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947041,2025-08-25 22:24:40,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,QUEENS,Residential Building/House,2025-08-25 23:07:54,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948285,2025-08-25 22:24:32,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,QUEENS,Street/Sidewalk,2025-08-25 22:54:01,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948224,2025-08-25 22:24:28,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BROOKLYN,Residential Building/House,2025-08-25 22:40:02,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65952770,2025-08-25 22:24:27,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Closed,BROOKLYN,Residential Building/House,2025-08-26 00:00:00,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65946747,2025-08-25 22:24:26,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 00:27:44,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950460,2025-08-25 22:24:23,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-26 00:25:56,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948234,2025-08-25 22:24:14,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,MANHATTAN,Residential Building/House,2025-08-25 22:53:40,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947350,2025-08-25 22:24:02,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,In Progress,BROOKLYN,Street/Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950812,2025-08-25 22:23:52,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BRONX,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65949508,2025-08-25 22:23:46,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 01:33:27,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947390,2025-08-25 22:23:30,NYPD,New York City Police Department,Noise - Residential,Loud Talking,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65946446,2025-08-25 22:23:16,DSNY,Department of Sanitation,Litter Basket Request,New Basket,In Progress,BROOKLYN,Street,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65948142,2025-08-25 22:23:16,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Closed,MANHATTAN,Store/Commercial,2025-08-25 23:00:34,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65951986,2025-08-25 22:23:00,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,In Progress,QUEENS,Highway,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.013
65944737,2025-08-25 22:22:40,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-26 01:05:51,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945002,2025-08-25 22:22:35,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,BROOKLYN,Street/Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944715,2025-08-25 22:22:34,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25 23:20:22,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65949587,2025-08-25 22:22:29,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,In Progress,MANHATTAN,3+ Family Apt. Building,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0398
65948495,2025-08-25 22:22:23,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,In Progress,QUEENS,1-2 Family Dwelling,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0398
65944465,2025-08-25 22:22:23,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,QUEENS,Street/Sidewalk,2025-08-25 23:25:16,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944440,2025-08-25 22:22:09,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 01:18:51,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
